hold_time,user,press_press_time,press_release_time
54400.0,s044,282100.0,233300.0
45400.0,s044,764100.0,709700.0
49600.0,s044,206600.0,161200.0
53300.0,s044,1219600.0,1170000.0
59100.0,s044,1216900.0,1163600.0
71200.0,s044,1647100.0,1588000.0
50700.0,s044,173900.0,102700.0
42800.0,s044,160500.0,109800.0
58300.0,s044,537500.0,494700.0
58800.0,s044,1581600.0,1523300.0
52500.0,s044,990900.0,934200.0
46200.0,s044,129500.0,77000.0
51200.0,s044,368000.0,321800.0
43300.0,s044,1077500.0,1026300.0
46400.0,s044,591200.0,547900.0
66200.0,s044,1008200.0,961800.0
83400.0,s044,613200.0,547000.0
48300.0,s044,228200.0,144800.0
60200.0,s044,247900.0,199600.0
87300.0,s044,1190100.0,1129900.0
42200.0,s044,455300.0,376200.0
56200.0,s044,119000.0,76800.0
46200.0,s044,564400.0,508200.0
49300.0,s044,1265800.0,1219600.0
57300.0,s044,1150300.0,1101000.0
65199.99999999999,s044,1264600.0,1207300.0
65199.99999999999,s044,150200.0,85000.0
15300.0,s044,778100.0,712900.0
77300.0,s044,1124400.0,1109100.0
71800.0,s044,340600.0,263300.0
49900.0,s044,352500.0,264700.0
47500.0,s044,160400.0,110500.0
56500.0,s044,482600.0,435100.0
52500.0,s044,881900.0,825400.0
49900.0,s044,451600.0,399100.0
71200.0,s044,806200.0,756300.0
64600.00000000001,s044,161800.0,90600.0
63100.0,s044,187800.0,123200.0
71500.0,s044,257699.99999999997,194600.0
83900.0,s044,232000.0,160500.0
37700.0,s044,1417400.0,1351200.0
50100.0,s044,132900.0,95200.0
55100.0,s044,464900.0,414800.0
50400.0,s044,1231500.0,1176400.0
43800.0,s044,727900.0,677500.0
55900.0,s044,806000.0,762200.0
63900.0,s044,127500.0,71600.0
54900.0,s044,142300.0,78400.0
77000.0,s044,672800.0,617900.0
82800.0,s044,650700.0,573700.0
50400.0,s044,413400.0,338500.0
58100.0,s044,124000.0,73600.0
45900.0,s044,771700.0,713600.0
37200.0,s044,963100.0,917200.0
46700.0,s044,509600.00000000006,472400.0
54600.0,s044,990800.0,944100.0
71200.0,s044,130600.0,76000.0
63600.00000000001,s044,166700.0,95500.0
77000.0,s044,270300.0,206700.0
66000.0,s044,302100.0,225100.0
43500.0,s044,427700.0,352800.0
57800.0,s044,131900.0,88400.0
50900.0,s044,723400.0,665600.0
56700.0,s044,865700.0,814800.0
53800.0,s044,545200.0,488500.0
70700.0,s044,852100.0,798300.0
61700.0,s044,138800.0,68100.0
61200.0,s044,130100.0,68400.0
79900.0,s044,278000.0,216800.0
73300.0,s044,307400.0,227500.0
52800.0,s044,387800.0,284700.0
58800.0,s044,119300.0,66500.0
48000.0,s044,313600.0,254800.00000000003
48600.0,s044,1061900.0,1013900.0
54400.0,s044,545000.0,496400.0
58800.0,s044,670700.0,616300.0
