hold_time,user,press_press_time,press_release_time
126200.0,s019,480200.0,412900.0
68400.0,s019,506499.99999999994,380300.0
129300.0,s019,318100.0,249700.0
87400.0,s019,546500.0,417200.0
139100.0,s019,1601100.0,1513700.0
65000.0,s019,430500.0,291400.0
148100.0,s019,639600.0,574600.0
113200.0,s019,383500.0,235400.0
86900.0,s019,410100.0,296900.0
138800.0,s019,899800.0,812900.0
95800.0,s019,442000.0,361200.0
73900.0,s019,401400.0,305600.0
133300.0,s019,317500.0,243600.0
90800.0,s019,919700.0,786400.0
124600.0,s019,684400.0,593600.0
72100.0,s019,398000.0,273400.0
146200.0,s019,198600.0,126500.0
108200.0,s019,537900.0,391700.0
64199.99999999999,s019,374700.0,266500.0
77400.0,s019,803000.0,738800.0
87900.0,s019,535300.0,468800.0
58100.0,s019,412800.0,324900.0
111900.0,s019,469500.0,411400.0
74700.0,s019,654400.0,542500.0
140400.0,s019,976700.0,902000.0
77100.0,s019,445000.0,304600.0
108000.0,s019,386200.0,309100.0
109800.0,s019,367500.0,259500.0
70500.0,s019,356000.0,246200.0
71000.0,s019,605600.0,535100.0
84700.0,s019,495500.0,418700.0
68400.0,s019,413300.0,328600.0
122200.0,s019,600400.0,532000.0
99300.0,s019,745200.0,623000.0
137500.0,s019,1002699.9999999999,903400.0
63600.00000000001,s019,386900.0,249400.0
108800.0,s019,365300.0,301700.0
108000.0,s019,295700.0,186900.0
71000.0,s019,447400.0,339400.0
87100.0,s019,999000.0,928000.0
92100.0,s019,358900.0,291000.0
69400.0,s019,333600.0,241500.0
116100.0,s019,282100.0,212700.0
102400.0,s019,449600.0,333500.0
118100.0,s019,954800.0,852400.0
75000.0,s019,379100.0,261000.0
130700.00000000001,s019,196200.0,121200.0
86600.0,s019,208900.0,78200.0
58400.0,s019,361600.0,275000.0
84700.0,s019,738100.0,679700.0
95300.0,s019,518800.00000000006,461500.0
54700.0,s019,561300.0,466000.0
127200.00000000001,s019,206200.0,151500.0
58100.0,s019,608300.0,481100.0
141500.0,s019,1021300.0000000001,963200.0
56500.0,s019,392500.0,251000.0
124300.0,s019,177500.0,121000.0
83900.0,s019,233400.0,109100.0
67600.0,s019,407200.0,323300.0
82400.0,s019,683400.0,615800.0
90300.0,s019,303500.0,231400.0
60700.0,s019,329900.0,239600.0
103700.0,s019,193700.0,133000.0
88200.0,s019,524300.0,420600.0
130399.99999999999,s019,1349900.0,1261700.0
64699.99999999999,s019,422900.0,292500.0
125599.99999999999,s019,166900.0,102200.0
83900.0,s019,230200.0,104600.0
82100.0,s019,348600.0,264700.0
118000.0,s019,934100.0,852000.0
70500.0,s019,289700.0,217600.0
56800.0,s019,303300.0,232800.0
102200.0,s019,112000.0,55200.0
